symptoms	sentences
restlessness	That's what anxiety is like.
abdominal pain	I don't know if I'm comfortable with the pain in my stomach.
abdominal pain	Ma'am, I don't see you.
disgusting	Wasn't it disgusting to eat pickles before?
disgusting	What else would be disgusting?
indigestion	That's supposed to be the intestinal. If not diseases of the digestive system, they may be related to gynecology.
hiccup,disgusting,abdominal distention,diarrhea,stomach ache	Disgusting, hiccups, vomiting, gastric pains, constipation, diarrhea?
helicobacter infection	It is recommended that the drug-to-diagnosis treatment described above be used for good results. If the symptoms are long and the symptoms repeated, it is better for the hospital to visit the internal medicine clinic, review the stomach mirror and exclude the possibility of infection with ulcers in the digestive tract and stomach clairvocosis.
counter-current	It is not excluded that the back stream is also treated with the drugs described above. In addition to the medications, attention is usually paid to eating and eating, sour and hot, tobacco and alcohol tea, pickle milk, chocolate coffee with carbonate drinks and high fats, among other food items, is likely to increase. Don't lie down right after you eat.
frustration,difficult eating,disgusting	I don't know what you're talking about.
gastrointestinal discomfort	Hello, you're supposed to be chronic colonies. Are you having a stomach problem?
counter-current	This is due to stomach inflammation and reflux of stomach acid, which is recommended for oral treatment.
hiccup,abdominal distention,abdominal pain	Are there other symptoms such as abdominal vomiting or anal pain? There's a treatment or a check-up.
hemorrhoid	In your case, considering the potential for hemorrhage, such as hemorrhage or rectum, you are advised to go to the hospital to do an anal finger testing and to examine the possibility of removing hemorrhoids. If there are no problems, further intestinal tests are required to clarify and regular treatment is better. You are also advised to lighten your diet, not to smoke and drink, to eat more fruits and vegetables, to eat less hot and greasy, to keep your poop free and better.
heat,counter-current	Excuse me, do you have a fever, anti-acid, vomiting, etc.? Hello?
gastrointestinal dysfunction	This situation is more likely to be caused by gastrointestinal disorders or gastrointestinal disorders.
hot heart	Hello, there's no pancreatic heart.
abdominal distention	You almost had a stomach swelling after the event?
disgusting	更严重的话会因为恶心呕吐，进食过少等导致离子紊乱等并发症。
heat	Have you got a fever?
frustration	But if it's too weak to be obvious, it's recommended that hospital fluids be given.
diarrhea	But it's obvious that you're having diarrhea, and it's possible to drink more water and do it.
bowel sound	Because the effects of gastrointestinal inflammation are being absorbed.
heat,blood in stool,abdominal pain	There's no abdominal pain, no blood in the shit, no thinning, no fever, no time to solve it.
difficult eating	It's a habit of living, anorexic abstinence, condensation enzyme, etc.
helicobacter infection	Spirulina infection is now common, with 40 to 60 per cent of the population likely to be infected.
heat	Is there still a fever?
diarrhea	This can be used to treat diarrhea, a small amount of oil can be used for diarrhea, mainly to drink more water.
disgusting	And nausea. If you're not feeling well, you can take it after dinner.
spasms	Hello, no breakfast, intestinal convulsion pain caused by eating irritated food at noon.
spasms	I'm sorry, I don't know what you're talking about.
counter-current	The cerebral stones combine cerebral inflammation and pancreatic inflammation, as a result of cerebral inflammation and obstruction of cerebral excitation, which reverts to the stomach. As cerebral juice is alkaline, stomach acid is acidic and prone to gastric mucous membrane damage.
counter-current	(b) Eating: Eating is light and does not eat greasy food, so as not to stimulate increased cerebral distribution and exacerbate the backsliding and illness. You should chew and swallow, and you should be afraid of eating. To avoid drinking tea, alcohol, coffee and hot, cold, overheated and rough food. The removal of certain aggravating factors, including cessation of alcohol and tobacco use, avoidance of stress, maintenance of a comfortable mood, and resistance or caution in the use of substances that stimulate the stomach mucous membrane.
helicobacter infection	I'm not sure what you're talking about.
diarrhea,disgusting,gastrointestinal discomfort	Discomfort stomach, nausea, gastrointestinal inflammation is still taken into account, and the stomach also reacts with inflammation.
diarrhea,abdominal pain	It's not a big problem. Don't worry about it. If the pull is strong or the stomach hurts are strong, then we'll go to the hospital for treatment.
hemorrhoid	There are no hemorrhoids.
counter-current,abdominal distention,hot heart	Is there something wrong with the anti-acid fever of the stomach?
helicobacter infection	See if it's a phantom screw infection.
abdominal pain	Hello. Do you have any abdominal pains?
diarrhea,heat	Heated? Today's the day to pull your belly off.
black poo	It's okay. It's just black tongue and shit.
helicobacter infection	Don't worry about it at all. When your phantom screws are negative, they'll be all right.
diarrhea,abdominal pain	This may be gastrointestinal inflammation. If you do not have diarrhea, you may not have to take any medication. Just take a couple of days of oatmeal and lightly let the stomach rest.
bowel sound	The intestines move faster when it's intestinal. It's okay. It'll be okay in a few days.
heat	It's a stomach fever.
heat	If it's fever, it's not drugs.
helicobacter infection	No, I'm fine. That's for the phantom vortex.
hemorrhoid	Are there any hemorrhoids at the hospital?
blood in stool	Yes. But you should be all right so young. Your blood is blood, too.
hemorrhoid	Most of them are hemorrhoids.
disgusting,bowel sound,abdominal distention,diarrhea,abdominal pain	Well, on the basis of a comprehensive analysis of your description, it is a common symptom following section of the stomach that is called dumping syndrome, after which patients sometimes experience stomach swelling, nausea, vomiting, intestinal respiration, diarrhea, diarrhea, twitching, red or paleness, extreme weakness, hyperactivity and even a drop in blood pressure in 10-30 minutes after dinner. If the patient is able to lie down for a while after the meal, the symptoms can be mitigated or the onset avoided, which is the dumping syndrome. The dumping syndrome occurs more often one to three weeks after the operation and more often when patients eat semi-fluent diets, especially milk with sugar, which lasts for an additional hour and then alleviates themselves. The cause of the dumping syndrome is the sudden entry of food into the stomach into the 12 finger or empty intestine as a result of the loss of normal physiological function of the phantom door after stomach surgery, resulting in a significant amount of fluid seepage of the intestinal mucus and an outbreak of low blood capacity symptoms.
abdominal distention	Dumping syndrome manifests itself in many ways, some of them in one or more of them, for example, in your stomach.
abdominal distention	Early feeding of vegetable fruits and fruits and other types of daily variety can be reduced and one or two can be eaten each day, while the rest of the gastrointestinal tract can be adapted to a greater variety of types, and if gas is swollen during feeding, then the feeding can be suspended and the feeding can be tried after lying down for a while.
spasms	For the time being, some dietary adjustments, such as fewer meals, 15 to 30 minutes of lay-down after meals, to see if there has been a marked improvement within a week, if any improvements can be made by the doctor at the next post-operative review, and if no improvements are made, some anti-group or anti-acetyl choline formulations, as well as anti-convulsive and tranquilizers, which require prescriptions and need to be taken by the doctor.
diarrhea,heat,abdominal pain	Are there abdominal diarrhea fever? Was there anything else before?
blood in stool	He's bleeding.
abdominal pain	Abdominal pain won't last long, will it?
indigestion	Previously, there were stomach diseases1; diets should be regular; meals should be scheduled, quantified, and edible; more digestive foods, such as rare meals, porridge, etc.; less irritable and digestive foods, and less cold foods should be consumed as much as possible.2- Practical diets; carrot rice congee; rice 100 grams, carrot 50 grams, rice boiled into oatmeal and then added carrots to a cooked meal with the effect of a strong and warm stomach. Spleen oatmeal; 15 g, 10 g, rice is adequate and has the effect of defeating the spleen and decomposing the intestines.3. Appropriate physical exercise can increase the gastrointestinal function of the human body, increase gastrointestinal infestation, increase digestive fluids, promote the digestion of food and the absorption of nutrient components, and improve the blood circulation and metabolism of the gastrointestinal tract itself.4. Positive upwards, with easy optimism, can balance the human body, breathe blood and clear the mind, keep the body healthy or contribute to the healing of the disease.
hiccup,indigestion,spasms	The phenomenon of hiccup (broom spasm) is common and can be caused by stomach or cystitis or esophagus, indigestion and even chronic infestation.
spasms	Could be convulsions pain.
spasms	It's supposed to be an intestinal spasm. Keep warm, don't get cold.
counter-current,hot heart	How long has the anti-acid heart been burning?q
indigestion	It's possible. It's also possible it's indigestion.
gastrointestinal discomfort	Looks like a bad stomach.
disgusting	A little nauseous.
hiccup,counter-current,abdominal distention	Is the burp anti-acid abdominal?
gastrointestinal discomfort	You could've had a bad stomach, you could've had a bad pregnancy, you could've had a bad stomach.
gastrointestinal discomfort	Children are usually not fed in an irregular manner and are not used to eating in a bad manner for their stomach. They are then fed on time and try not to eat snacks.
gastrointestinal dysfunction	The intestinal disorder. It's good to be able to recover on its own.
spasms	The abdominal color is also normal, considering intestinal cramps.
indigestion	Yeah. The box of rice are not well digested. The food is also greasy.
counter-current	The melon can't eat much. It's easy to resist acid.
diarrhea	The ban on liver disease. To be absolutely barbarous.2nd floor. 2nd floor. 2nd floor. 2nd floor. A reasonable mix of nutrition. Neither nutritionally inadequate nor over nourished in order to reduce the formation of nutrient hepatitis and fatty livers. Rotten, corrupt peanuts, corn, fish, shrimp, crabs, clams, vermin. This is the first time I've ever seen a woman in my life. No substance abuse.i. Hepatic dietary care (1) promotes a combination of platinum, with fruit, vegetables, and alkaline foods, and with meat, eggs, fish, which often acidizes the blood.(2) The diet should not be sufficient and should not be subject to excessive consumption.(3) Hepatitis patients should, therefore, maintain a diet that is predominantly vegetative or light, supported by animal food, while the source of thermal energy is still predominantly food according to the characteristics of the Chinese population. At dinner, there is a ban on oily, meaty, and less peanut or high-protein hotpot food.II. Hepatic dietary principles: 1. Control heat intake in order to consume fat oxidation in liver cells. The obese should progressively lose weight to the standard body weight range.2nd floor. 2nd floor. 2nd floor. 2nd floor. Imports of fats and carbohydrates are restricted, and it is not appropriate to consume too much sugar. This is the first time I've ever seen a woman in my life. High-protein diets, which protect hepatocytes and promote the restoration and regeneration of liver cells. This post is part of our special coverage Egypt Protests 2011.• Ensure the supply of fresh fruits and vegetables, especially green leaves, to meet the vitamin needs of the organism. I'm not sure how to handle it. Restricted salt, 6 grams a day. I'm sorry, I'm sorry, I'm sorry, I'm sorry. Appropriate quantities of drinking water to facilitate the metabolism and discharge of metabolic waste. I'm sorry, I'm sorry, but I'm sorry. Foods rich in methyl sulfur amino acid, such as millet, sesame and spinach, promote phosphorus synthesis in the body and assist in fat conversion in liver cells.# We're not going to be able to do it #Hot and irritating food.
hemorrhoid	There are hemorrhoids.
hemorrhoid	Think first of hemorrhaging.
sticky stool	Occupational fluid, some blood clots.
counter-current	Do you have anti-acid? When did you make the stomach mirror?
stomach ache	Well, do you have any stomach ache?
abdominal distention	Do you eat a lot? Do you feel abdominal swelling?
diarrhea	Hello, diarrhea? Any other symptoms?
heat,diarrhea,sore throat,cough,abdominal pain	Does the throat hurt? Does the cough have a twitch? Does the abdominal diarrhea? The fever means it's infected.
heat	I'll go to a regular hospital and have a fever clinic and check out blood routines.
bacterial infections	Let's see if it's a bacterial infection or a virus infection.
heat	Severing is a reminder and further examination is required.
diarrhea	Is it bad for a diarrhea?
diarrhea	The diarrhea isn't eating bad anymore.
indigestion	Hello, this doesn't matter. Good digestion can do it.
stomach ache,abdominal distention,hiccup	Any stomach ache, stomach swelling, hiccups?
indigestion	This is an example of digestive indigestion that you can take Uranium, or do you want to treat it?
indigestion	Yes. Indigestion can lead to this.
hiccup,counter-current,hot heart	The anti-acid heart burp?
weight down	Hello. Did you do the gastric mirror? How much weight did you lose?
counter-current	Is there anything else in the gastric mirror other than reflux bulimia? How's your diet?
counter-current,weight down	Anti-fluid bulimia does not normally cause weight loss. Is there anything else uncomfortable?
anemia	What are you talking about?
loose stool	I can't take a shit. Have you ever done an intestinal mirror?
counter-current,weight down	I feel like if you're just reflux, it's not a problem, if you're losing weight, you're going to have to look at the cause.
loose stool	You don't look good. You'd better make an intestinal mirror.
abdominal distention,abdominal pain	Any symptoms? Abdominal sclerosis? A few days of shit?
abdominal distention	(you u u u u up)
abdominal pain	Do you have any pain in your stomach?
diarrhea	I don't know what I'm talking about.
black poo,blood in stool	Is the poop black? Is there a pus?
counter-current	Consider the possibility of anti-momental gastrophylactic inflammation.
urgent urination,frequent urination	Do you have any urinary pains?
abdominal distention	I don't know what you're talking about.
abdominal pain	There's no abdominal pain.
hiccup,counter-current	Any anti-acid hiccups?
abdominal pain	When does the abdominal pain usually appear?
gastrointestinal dysfunction	Stomach inflammation is currently being considered. Intestine function disorder.
helicobacter infection	Oh, the eradication of the phantom spiralizer is not a waste of money. It's recommended that you do it at your own time. It is important to drink more water, exercise more and eat some vegetables and fruit properly.
hiccup,counter-current,abdominal distention	Hiccup anti-acid water? Has the abdominal swollen? Have you done any tests?
gastrointestinal dysfunction,indigestion	Your symptoms do not exclude digestive disorders caused by gastrointestinal disorders.
indigestion	It is mainly to develop good eating habits, to eat regularly, quantitatively, not to drink violent foods, and not to drink more gas carbonate beverages.© Minimize the consumption of easily productive foods such as potatoes, onions, cabbage, celery, pickles, soybeans, peas, etc. In the event of indigestion, appropriate digestive drugs such as multiple enzymes, Chinese preparations such as stomach abstinence tablets, botulinum pills, diagnosis pills, etc. are available and digestive.
hemorrhoid	Hemorrhoids are formed after the time of constipation.
abdominal pain	There are no abdominal symptoms.
indigestion	Hello, it's stomach aberration, caused by bad digestion.
diarrhea	You use 30ml to look at the shit, and you just keep it going one or two times a day, if you say it's possible to cause diarrhea.
diarrhea	What's the temperature? How big is the baby? Diarrhea. You can't take drugs in this case.
diarrhea,abdominal pain	Do you have diarrhea? Is it hot? Is there still a stomach ache?
heat,loose stool	Acute gastritis.
abdominal pain	Yes, my stomach hurts so bad.
diarrhea	Oh, I think I'm going to have to take a diarrhea, take some digestive drugs and drink more hot water.
stomach ache	Not now. Just wait till your stomach doesn't hurt.
counter-current	The needle samples are mostly neurological pains, anti-acids can be prescribed by an oral doctor, oral rubella intestinal salivates can be taken in the morning and in the evening, one after Pryqualone meal, three times a day, treatment of mucous membranes from the stomach, regular medications, combined with diets, regular diets, non-smoking, acidic, hot foods, non-satisfying foods, and your illness can be cured.
chest pain	Does it hurt outside the left chest or inside? Does it hurt with your hand?
counter-current	There's anti-acid?
chest pain	I'm going to have a heart attack. I'm going to have a heart attack. Furthermore, I'm going to have a heart attack. Furthermore, I'm going to have a heart attack. Furthermore, I'm going to have a heart attack.
heat	Have a fever? How's the shit?
abdominal pain	Did you eat anything that wasn't clean? Which part of your stomach hurts?
diarrhea	What's wrong with it, besides the pain?
heat,counter-current,hiccup	There's anti-acid, hiccup, vomiting, fever?
gastrointestinal dysfunction,indigestion	This situation takes into account a combination of functional indigestion and gastrointestinal disorders, and it is recommended that some digestive, gastrointestinal tract strains, such as digestive enzymes and emulsion tablets, be treated for each other, that the diet be light, and that alcohol be taboo.
helicobacter infection	Carbon 13 is a phantom snail from the stomach.
blood in stool,hemorrhoid	Two or three days is normal, what's the blood on the poop, blood on the surface of the poop or a mixture of blood and poop. Do you have hemorrhoids?
hemorrhoid	You're still thinking of hemorrhaging, so you can go to the local hospital for a rectum finger.
hemorrhoid	Okay. In response to this consultation, the doctor updated his summary recommendations: ceasing pain, drying up the feces with blood, which is common for hemorrhaging.
bacterial infections	There's a bacterial infection in the belly button.
seung jo	Muslin Ravi acid allergy?
seung jo	Do you have any drug or food allergies?
abdominal distention	I'm sorry.
diarrhea,intestinal obstruction	The first thing you do is consider incomplete infarction caused by constipation, which in some cases is so severe that it can cause anal defecation and can only squeeze a little slime or intestinal viscous from the side, so it looks like diarrhea.
bowel sound	The tummy was caused by intestinal worms.
diarrhea,dysbacteriosis	The diarrhea, according to your description, is probably caused by bacterial disorders. Have you been treated?
diarrhea	Now, you can use the whole intestinal body, which is a drug to regulate the intestinal strain, which is useful for your diarrhea.
hiccup	Hiccup, and feel.
hiccup,abdominal distention	Hiccup and the feeling of abdominal intestine is not very relevant, and more consideration is given to stomach problems.
abdominal distention	This is the symptom of abdominal swelling.
helicobacter infection	There is a need for the treatment of phantom screws.
diarrhea	Hello! You can take some dehydrate and reduce the number of diarrhea.
diarrhea	Good luck with your health. In response to this consultation, the doctor updated the concluding recommendations: anti-inflammation and the suppression of excessive intestinal perturbations are an important way to combat diarrhea.
indigestion	At present, stomach impairments are considered mostly in chronic gastric inflammation or functional indigestion.
diarrhea,abdominal distention,heat	Hello. Is there abdominal swelling, diarrhea, fever?
diarrhea,abdominal pain	Which one of the first diarrhea and abdominal pains?
diarrhea	Diarrhea for a few days?
loose stool	Water poo?
loose stool	It's still water-coated?
abdominal pain	The exact location of the abdominal pain.
abdominal pain	Can you relieve the abdominal pain after taking a shit?
abdominal pain	If you have a severe abdominal pain, you can have a ton of eggplant.
loose stool	In cases of persistent water samples, it is recommended that urine routines be tested, and in cases of infection with domestic fluorine disinfection.
hemorrhoid	Well, considering you're bleeding from hemorrhoids, it's recommended to the pharmacy to buy a machete hemorrhoid.
helicobacter infection	Hello, do you have any symptoms? Did you check out the phantom snails?
helicobacter infection	If phantom snails are infected with positive considerations for root treatment of phantom snails, antibiotics are added.
abdominal distention	Hello, considering your low intestinal power function, your intestinal gas gives rise to a high probability.
black poo	Most of the colon blackness is caused by intestinal pills, diets and laxatives, which are not used in the future, leading to reduced intestinal dynamics and damage to the intestinal mucous membrane.
disgusting	There's no hot, cold, hot, greasy food. Are you tired of the cold? Disgusting? Is your period normal?
loose stool	How many times did you take it?
disgusting	What are you doing?
diarrhea	Consider diarrhea and lack water. You can have some water.
gastrointestinal dysfunction	The side effects of quadruple microbiomes are generally not expected to last long, mainly because gastrointestinal disorders require a period of rehabilitation to take medication on time, so that they are not too stressful and there are no major problems.
counter-current	This is a problem of stomach inflammation accompanied by reflux dietary inflammation from stomach inflammation.
chest pain	The right chest pain has to remove the lung problem.
spasms	(you u u u up)
disgusting,abdominal distention,diarrhea,abdominal pain,counter-current,hot heart	What are the symptoms of the cold? Anti-acid fever, nausea, vomiting? Diarrhea, abdominal pain, diarrhea.
abdominal pain	I'm sorry, I'm sorry.
bowel sound,gastrointestinal discomfort	Staying up has an adverse effect on the stomach and is prone to stomach disease, while reducing physical immunity and resistance is essential for all to take good care of their stomachs. Frequent night sleep is inadequate and has a significant impact on stomach health, with a prevalence rate of 3-4 times that of the general population. It would be better not to stay up late, which would not only be bad for the stomach, causing disturbances in plant nerves, but would also cause damage to other impurities to varying degrees and affect the normal rest of the brain, which would be very harmful.
helicobacter infection	There's no phantom screw infection. How's the shit?
abdominal pain	Any abdominal pain?
blood in stool	The gastric mirrors are the most effective, and it is not mandatory to check without blood.
heat	Hello, there are other symptoms besides fever.
diarrhea	Hello. How long has it been? Is there anything else? Is there a diarrhea?
frustration,diarrhea,dehydration	Diarrhea obviously causes dehydration and is weak.
diarrhea	How much diarrhea times a day? Now.
hiccup	Normally, gases should go down and not be hit by hiccups.
hiccup	That's why you want to burp because you're going down the road.
gastrointestinal dysfunction	Okay, you're in a gastrointestinal disorder.
diarrhea	Yes. For diarrhea, constipation is useful.
abdominal pain	Does your stomach hurt? Did you eat anything unclean before?
heat	It started with a fever. Don't you have a fever now?
diarrhea	That could be mumps. The diarrhea can be eaten with a truncheon.
indigestion	How long have you been having symptoms like that? You're kind of indigestion.
heat	How long has acute gastrointestinal inflammation been burning?
back pain	Hello, which part of the back is it? Have you had a diarrhea and stomach mirror?
helicobacter infection	On the basis of the original medication, you are advised to take the medication together with Marlin and aluminum sulfur for more than half a month. In addition, it would be better to have a diarrhea and phantom snails check and to have the disease treated after further examination.
abdominal distention,abdominal pain	Hello, is there anything else uncomfortable? There's no abdominal abdominal abdominal swelling.
helicobacter infection	There's no check on the phantom spiral bacterium.
counter-current	There's anti-acid?
counter-current	The symptoms are due to anti-fluid edema.
counter-current	Now the symptoms are refluxing into the mouth.
counter-current	It's a symptom of reflux.
counter-current	Pricking can cause pain and not reflux into the mouth.
counter-current	That's why you're having an anti-genetic dietary inflammation.
black poo,counter-current,hot heart	© Eat less, choose less fat and more digestive diets, increase properly the amount of food such as soybean products, thin pork and eggs, eat less or not fried food, and discourage the consumption of food such as tea, coffee and chocolate. After meals and backsliding, drink water at an appropriate temperature in order to reduce food incentives to the dietary tubes. No food for 3-4 hours before bed. Sit at the back of the diet or walk slowly for 30 minutes, with proper physical exercise. Keep a good mind and avoid stress. In the case of post-breast burning, decomposition and continuing pain, medical attention should be provided in a timely manner.
back pain	Hello, how long? Is there any radiation pain to the right shoulder? Any other symptoms?
abdominal pain	What are you talking about?
abdominal pain	♪ That's what I'm talking about. Right upper abdominal ache?
back pain	The upper right abdominal organs have liver lobes, gall bladders, part of the 12th intestinal, colon liver curls, right adrenal glands, right kidneys, radiation pains to the right shoulder, cholesterol symptoms, which are recommended for examination.
counter-current,hot heart,abdominal pain	So the upper right abdominal pain is reduced by excretion? There's anti-acid, heartburn?
abdominal distention,back pain,abdominal pain	The upper right abdominal organs have liver lobes, gall bladders, part of the 12th intestinal, colon liver curls, right adrenal glands, right kidneys, radiation pains to the right shoulder, cholesterol symptoms, which are recommended for examination. With constipation, the upper right abdominal ache, it is recommended that the intestinal mirror be checked for colonies. It is recommended that satisfactory masturbates, golden bipolar intestinal herds promote defecation, and lactose oral solutions alleviate constipation and drying.
abdominal distention	It can be associated with constipation.
abdominal distention	When it bends, it's got a lot of intestinal pressure, causing colon swollen spleen in the upper right belly.
indigestion	Non-demorrhaging is recommended for oral Hiram and lactococcal tablets.
loose stool	I'm sorry, I'm sorry.
hiccup,counter-current,abdominal distention	Hiccup anti-acid water? Abdominal swelling?
diarrhea	You can take the Opera intestinal solubility, defoliate it, and the complex mite capsule, and if the diarrhea is serious, add saffron.
indigestion	The cold has led to indigestion.
diarrhea,abdominal distention	Keep it warm. If you don't get up, you'll get up. Diarrhoea can also be prevented.
gastrointestinal discomfort	These powder stomachs are uncomfortable and can't be eaten. It's a lot of starch.
difficult eating	Don't take any pills. Just don't want to eat.
heat	Is it hot? Have you eaten anything unhygienic lately?
diarrhea,loose stool	A few times a day, like water?
diarrhea	If diarrhea is uncontrollable, coupled with immobilization, or lactococcal tablets. Diarrhoea is contained. One more days medication will stop.
indigestion	In general, poo greens occur when digestion of food and vegetables is incomplete or unable to digest. There are also cysteine oxidation on a full-time basis.
diarrhea	I don't care what kind of milk I've had in the last few months?
diarrhea,loose stool	How many times a day do you take a tummy?
spasms	It can eat basin tablets that can relieve gastrointestinal tract cramps. It's also called 6542.
diarrhea,abdominal pain	Do you still have diarrhea? Have you had a stomach ache? Have you taken any medication?
gastrointestinal dysfunction	This is the expression of gastrointestinal dysfunction.
restlessness	You can go to the hospital for a thyroid function test and, if you do not want to go, continue to observe it for a few days. If the symptoms improve, you can leave it alone, and if it is still easy to go to the hospital.
cough	It's a pleasure to answer your questions. Do you have a headache?
bitterness in the mouth	Did you check out the liver? Was it bitter?
frustration,heat,wong poon	Don't think about eating, greasy, low heat, weak, yellow, yellow as tea.
bitterness in the mouth	Slutty is generally a matter of liver and urchin.
counter-current	There's also a gastric inflammation caused by urchin reflux. The general problem is not a big one. Let's see first.
abdominal pain	I'm sorry.
counter-current,stomach ache,hot heart	If I don't have anti-acid burns, stomach pains, I don't have to take them.
abdominal distention,abdominal pain	Any abdominal pains, symptoms of abdominal swelling, poo color, suspense blood?
diarrhea	Have you ever had a diarrhea? Have you ever had any pain before?
spasms	Well, it's an intestinal spasm, and it's no big deal to drink hot water and get a warm bag when it's cold and not cold.
heat,disgusting	Hot, nausea, nausea.
hemorrhoid	Do you have any hemorrhoids before?
hemorrhoid	You said hemorrhoids could cause hemorrhage.
hemorrhoid	Sustenance is a cause of morbidity for hemorrhoids and anal fissures.
gastrointestinal dysfunction,indigestion	From what you're saying, I don't think it's possible to exclude digestive disorders caused by gastrointestinal disorders.
hemorrhoid	I need more blood.
indigestion	What you're talking about is still related to indigestion.
gastrointestinal discomfort	If the stomach is bad, like some sweet, irritant foods are as low as possible in order not to hurt the stomach. Ugh!
hiccup,abdominal distention	Have you been eating hot stimuli and colder than hard sticky fried food? The burp's abdominal swollen.Shit's the rule.
diarrhea	I'm sorry.
disgusting	(you u u u up)
gastrointestinal dysfunction,indigestion	From your symptoms, I don't think it's possible to exclude digestive disorders caused by gastrointestinal disorders.
hiccup,counter-current,abdominal distention	I'm wearing a suit.
restlessness,abdominal distention	There is a need to develop good eating habits, dietary patterns, dietary diets, and easily digestive soft foods. To avoid eating raw, cold, hard, rough, greasy and too much fiber. I don't care if you eat like that. Eating is carefully chewed and slow, which helps digest absorption and thus reduces the burden on the stomach. There should be a ban on intensive tea, coffee, alcohol, etc.; fewer foods that are prone to blistering, such as potatoes, potatoes, onions, soybeans, etc. Stop smoking, don't eat hot and irritable food. To avoid overheating, acidic and baked food for long periods of time. Long-term administration of substances that stimulate the gastric mucous membrane, especially aspirin, should also be avoided. Physician pine, pain-free, strong pine, etc. Care is taken to blend in, live in regularity, maintain optimism, avoid tension, anxiety and depression.
sticky stool,blood in stool	Um, is there any slime blood in the shit?
gastrointestinal dysfunction,abdominal distention,abdominal pain	Abdominal abdominal abdominal pain? It's an intestinal disorder. You can take a whole intestinal tract, curly pudding, and spleen pills.
hemorrhoid	Is it blood? Hemorrhoids are the blood of canals and hemorrhoids.
gastrointestinal dysfunction	It's supposed to be a gastrointestinal disorder. You can eat some fungus.
heat	How many times a day is the shit? There's no heat.
diarrhea,abdominal pain	Well, sure, the main symptoms of acute intestinal inflammation are abdominal pain and diarrhea.
disgusting,counter-current,abdominal distention	Hello, can I ask you something about anti-acid, nausea, abdominal swelling?
stomach ache	Hello, regular stomach ache?
stomach ache	Have you ever had a stomach ache?
stomach ache	Anything but stomach pain?
abdominal pain	Abdominal pain is easily caused by stimuli, cold or drinking.
diarrhea	I don't know.
indigestion	Oh, it's not well digested. It's recommended that Martin's film be taken orally.
black poo	You can stop saving and see if the shit's still black in three days.
blood in stool	Hello, do you want to know if the shit is dry? Is the blood-red?
hemorrhoid	Many mothers suffer from suiting difficulties as a result of pregnancy, resulting in hemorrhoids.
counter-current	Considering the reflux of stomach tubes, it is recommended that a gastric mirror be improved. Temporary use: Pergola and Mobile for treatment.
gastrointestinal dysfunction	You're thinking about the intestine disorder.
dysbacteriosis	I've lost my temper.
diarrhea,abdominal pain	Crown is a right lower abdominal pain coupled with diarrhea.
gastrointestinal dysfunction,diarrhea	Bottom right belly button. It's also an intestinal disorder for constipation.
gastrointestinal dysfunction	Well, let's start with the intestine disorder.
anemia,diarrhea,abdominal pain	This is mainly due to abdominal diarrheal wasting anemia and malnutrition.
diarrhea	Hello. Nice to meet you. Is it diarrhea? A couple of times a day.
loose stool	It's a little of shit, isn't it?
abdominal distention,abdominal pain	There are no diseases in the initial judgement. Do you have an abdominal swelling?
diarrhea,abdominal pain	No diarrhea, no abdominal pain, no big deal.
diarrhea,abdominal pain	How long has this been going on? What are the symptoms of abdominal pain other than diarrhea? What is the exact location of the abdominal pain?
diarrhea,spasms	It can also cause changes in intestinal activity during severe pains, resulting in an acceleration of intestinal wordage and diarrhea and convulsions.
diarrhea,abdominal pain	If you have diarrhea in every period of your menstruation, there is usually only occasional abdominal diarrhea or consideration of its relevance to menstruation.
diarrhea	As for the examination, I suggest you go to the hospital and adjust the pain. Diarrhoea problems can be regulated first through diet and medication. If pain is improved and diarrhea is alleviated, further intestinal examinations will not be required. If not, there may be a need to refine the examination without relief after taking the medication.
abdominal pain	In this case, it is recommended that an examination be conducted to determine whether it is the stomach or the liver urinary, or the upper abdominal pain caused by pancreatic diseases.
spasms	It's supposed to be an intestinal spasm, some local heat.
hemorrhoid	Have hemorrhoids.
gastrointestinal dysfunction,indigestion	Your symptoms do not rule out digestive disorders caused by gastrointestinal disorders, which have a strong bearing on your intestinal inflammation.
hemorrhoid	This situation still requires consideration of anal diseases, such as hemorrhoids, anus fractures, and it is recommended that in the near future, attention be given to diets to avoid eating as much as possible, drinking more water, eating more fruits and vegetables, and that the general symptoms improve.
hemorrhoid	In cases of frequent or severe symptoms, medication can be taken, such as the Yunnan white capsule, maroon hemorrhoid oscillation etc.
helicobacter infection	There may be chronic stomach inflammation, a gastric mirror and a phantom screw.
helicobacter infection	Check for a phantom screw.
helicobacter infection	See if there's a phantom screw infection. Yes, quadruple therapy.
helicobacter infection	I don't think your stomach's going to be all right. It's got to do with the phantom snails' infection.
gastrointestinal discomfort	You have a bad stomach and a natural chest.
heat	A fever.
hiccup,counter-current	Anti-acid water burps?
stomach ache	Is stomach pain alleviated after eating?
gastrointestinal dysfunction	Well, your symptoms don't rule out gastrointestinal dysfunction.
diarrhea,heat,abdominal pain,counter-current,hot heart	How many degrees of fever do you have? Can you tell me more about eating bad stomachs? What's wrong with eating something? Any abdominal sclerosis?
